mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm
1	1	0	0.0	0	0	StaffText	3/1	1	1	0							"19. Perchè te 'n fuggi, o Fillide?
A 3, Alto Tenore e Basso
from Madrigal Book VIII"		
1	1	0	0.0	0	0	StaffText	3/1	1	1	0							"Claudio Monteverdi
1567-1643"		
1	1	8	4.0	2	2	Chord	3/1	2	1	1			1	1	0	Per-			
1	1	8	4.0	2	2	Chord	3/1	4	1	1			1	1	1				
2	2	12	4.0	0	0	Chord	3/1	2	1	1			1	1	2	chè			
2	2	16	4.0	1	1	Chord	3/1	2	1	1			1	1	3	t'en			
2	2	20	4.0	2	2	Chord	3/1	2	1	1			1	1	4	fug-			
2	2	12	4.0	0	0	Chord	3/1	4	1	1			1	1	5				
2	2	16	4.0	1	1	Chord	3/1	4	1	1			1	1	6				
2	2	20	4.0	2	2	Chord	3/1	4	1	1			1	1	7				
3	3	24	4.0	0	0	Chord	3/1	2	1	1			1	1	8	gi			
3	3	28	8.0	1	1	Chord	3/1	2	1	2			2	1	9	o			
3	3	32	4.0	2	2	Chord	3/1	3	1	1			1	1	10	Per-			
3	3	24	4.0	0	0	Chord	3/1	4	1	1			1	1	11				
3	3	28	4.0	1	1	Chord	3/1	4	1	1			1	1	12				
3	3	32	4.0	2	2	Chord	3/1	4	1	1			1	1	13				
4	4	36	6.0	0	0	Chord	3/1	2	1	3/2			1	3/2	14	Fil-			
4	4	42	2.0	3/2	3/2	Chord	3/1	2	1	1/2			1/2	1	15	li-			
4	4	44	4.0	2	2	Chord	3/1	2	1	1			1	1	16	de			
4	4	36	4.0	0	0	Chord	3/1	3	1	1			1	1	17	chè			
4	4	40	4.0	1	1	Chord	3/1	3	1	1			1	1	18	t'en			
4	4	44	4.0	2	2	Chord	3/1	3	1	1			1	1	19	fug-			
4	4	36	4.0	0	0	Chord	3/1	4	1	1			1	1	20				
4	4	40	4.0	1	1	Chord	3/1	4	1	1			1	1	21				
4	4	44	4.0	2	2	Chord	3/1	4	1	1			1	1	22				
5	5	56	4.0	2	2	Chord	3/1	1	1	1			1	1	23	Per-			
5	5	48	4.0	0	0	Chord	3/1	2	1	1			1	1	24	o			
5	5	52	8.0	1	1	Chord	3/1	2	1	2			2	1	25				
5	5	48	4.0	0	0	Chord	3/1	3	1	1			1	1	26	gi			
5	5	52	8.0	1	1	Chord	3/1	3	1	2			2	1	27	o			
5	5	48	4.0	0	0	Chord	3/1	4	1	1			1	1	28				
5	5	52	8.0	1	1	Chord	3/1	4	1	2			2	1	29				
6	6	60	4.0	0	0	Chord	3/1	1	1	1			1	1	30	chè			
6	6	64	4.0	1	1	Chord	3/1	1	1	1			1	1	31	t'en			
6	6	68	4.0	2	2	Chord	3/1	1	1	1			1	1	32	fug-			
6	6	60	6.0	0	0	Chord	3/1	2	1	3/2			1	3/2	33	Fil-			
6	6	66	2.0	3/2	3/2	Chord	3/1	2	1	1/2			1/2	1	34	li-			
6	6	68	4.0	2	2	Chord	3/1	2	1	1			1	1	35	de			
6	6	60	6.0	0	0	Chord	3/1	3	1	3/2			1	3/2	36	Fil-			
6	6	66	2.0	3/2	3/2	Chord	3/1	3	1	1/2			1/2	1	37	li-			
6	6	68	4.0	2	2	Chord	3/1	3	1	1			1	1	38	de			
6	6	60	6.0	0	0	Chord	3/1	4	1	3/2			1	3/2	39				
6	6	66	2.0	3/2	3/2	Chord	3/1	4	1	1/2			1/2	1	40				
6	6	68	4.0	2	2	Chord	3/1	4	1	1			1	1	41				
7	7	72	4.0	0	0	Chord	3/1	1	1	1			1	1	42	gi			
7	7	76	8.0	1	1	Chord	3/1	1	1	2			2	1	43	o			
7	7	80	4.0	2	2	Chord	3/1	2	1	1			1	1	44	per-			
7	7	72	4.0	0	0	Chord	3/1	3	1	1			1	1	45	o			
7	7	76	8.0	1	1	Chord	3/1	3	1	2			2	1	46				
7	7	72	4.0	0	0	Chord	3/1	4	1	1			1	1	47				
7	7	76	8.0	1	1	Chord	3/1	4	1	2			2	1	48				
8	8	84	6.0	0	0	Chord	3/1	1	1	3/2			1	3/2	49	Fil-			
8	8	90	2.0	3/2	3/2	Chord	3/1	1	1	1/2			1/2	1	50	li-			
8	8	92	4.0	2	2	Chord	3/1	1	1	1			1	1	51	de			
8	8	84	4.0	0	0	Chord	3/1	2	1	1			1	1	52	chè			
8	8	88	4.0	1	1	Chord	3/1	2	1	1			1	1	53	t'en			
8	8	92	4.0	2	2	Chord	3/1	2	1	1			1	1	54	fug-			
8	8	84	6.0	0	0	Chord	3/1	3	1	3/2			1	3/2	55	Fil-			
8	8	90	2.0	3/2	3/2	Chord	3/1	3	1	1/2			1/2	1	56	li-			
8	8	92	4.0	2	2	Chord	3/1	3	1	1			1	1	57	de			
8	8	84	6.0	0	0	Chord	3/1	4	1	3/2			1	3/2	58				
8	8	90	2.0	3/2	3/2	Chord	3/1	4	1	1/2			1/2	1	59				
8	8	92	4.0	2	2	Chord	3/1	4	1	1			1	1	60				
9	9	96	4.0	0	0	Chord	3/1	1	1	1			1	1	61	o			
9	9	100	8.0	1	1	Chord	3/1	1	1	2			2	1	62				
9	9	96	4.0	0	0	Chord	3/1	2	1	1			1	1	63	gi			
9	9	100	8.0	1	1	Chord	3/1	2	1	2			2	1	64	o			
9	9	96	4.0	0	0	Chord	3/1	3	1	1			1	1	65	o			
9	9	100	8.0	1	1	Chord	3/1	3	1	2			2	1	66				
9	9	96	4.0	0	0	Chord	3/1	4	1	1			1	1	67				
9	9	100	8.0	1	1	Chord	3/1	4	1	2			2	1	68				
10	10	108	6.0	0	0	Chord	3/1	1	1	3/2			1	3/2	69	Fil-			
10	10	114	2.0	3/2	3/2	Chord	3/1	1	1	1/2			1/2	1	70	li-			
10	10	116	4.0	2	2	Chord	3/1	1	1	1			1	1	71	de			
10	10	108	6.0	0	0	Chord	3/1	2	1	3/2			1	3/2	72	Fil-			
10	10	114	2.0	3/2	3/2	Chord	3/1	2	1	1/2			1/2	1	73	li-			
10	10	116	4.0	2	2	Chord	3/1	2	1	1			1	1	74	de			
10	10	108	6.0	0	0	Chord	3/1	3	1	3/2			1	3/2	75	Fil-			
10	10	114	2.0	3/2	3/2	Chord	3/1	3	1	1/2			1/2	1	76	li-			
10	10	116	4.0	2	2	Chord	3/1	3	1	1			1	1	77	de			
10	10	108	6.0	0	0	Chord	3/1	4	1	3/2			1	3/2	78				
10	10	114	2.0	3/2	3/2	Chord	3/1	4	1	1/2			1/2	1	79				
10	10	116	4.0	2	2	Chord	3/1	4	1	1			1	1	80				
11	11	120	4.0	0	0	Chord	3/1	1	1	1			1	1	81	per-			
11	11	124	4.0	1	1	Chord	3/1	1	1	1			1	1	82	chè			
11	11	128	4.0	2	2	Chord	3/1	1	1	1			1	1	83	t'en			
11	11	120	4.0	0	0	Chord	3/1	2	1	1			1	1	84	per-			
11	11	124	4.0	1	1	Chord	3/1	2	1	1			1	1	85	chè			
11	11	128	4.0	2	2	Chord	3/1	2	1	1			1	1	86	t'en			
11	11	120	4.0	0	0	Chord	3/1	3	1	1			1	1	87	per-			
11	11	124	4.0	1	1	Chord	3/1	3	1	1			1	1	88	chè			
11	11	128	4.0	2	2	Chord	3/1	3	1	1			1	1	89	t'en			
11	11	120	4.0	0	0	Chord	3/1	4	1	1			1	1	90				
11	11	124	4.0	1	1	Chord	3/1	4	1	1			1	1	91				
11	11	128	4.0	2	2	Chord	3/1	4	1	1			1	1	92				
12	12	132	4.0	0	0	Chord	3/1	1	1	1			1	1	93	fug-			
12	12	136	4.0	1	1	Chord	3/1	1	1	1			1	1	94	gi			
12	12	132	4.0	0	0	Chord	3/1	2	1	1			1	1	95	fug-			
12	12	136	4.0	1	1	Chord	3/1	2	1	1			1	1	96	gi			
12	12	132	4.0	0	0	Chord	3/1	3	1	1			1	1	97	fug-			
12	12	136	4.0	1	1	Chord	3/1	3	1	1			1	1	98	gi			
12	12	132	4.0	0	0	Chord	3/1	4	1	1			1	1	99				
12	12	136	4.0	1	1	Chord	3/1	4	1	1			1	1	100				
13	13	144	4.0	0	0	Chord	3/1	1	1	1			1	1	101	per-			
13	13	148	4.0	1	1	Chord	3/1	1	1	1			1	1	102	chè			
13	13	152	4.0	2	2	Chord	3/1	1	1	1			1	1	103	t'en			
13	13	144	4.0	0	0	Chord	3/1	2	1	1			1	1	104	per-			
13	13	148	4.0	1	1	Chord	3/1	2	1	1			1	1	105	chè			
13	13	152	4.0	2	2	Chord	3/1	2	1	1			1	1	106	t'en			
13	13	144	4.0	0	0	Chord	3/1	3	1	1			1	1	107	per-			
13	13	148	4.0	1	1	Chord	3/1	3	1	1			1	1	108	chè			
13	13	152	4.0	2	2	Chord	3/1	3	1	1			1	1	109	t'en			
13	13	144	4.0	0	0	Chord	3/1	4	1	1			1	1	110				
13	13	148	4.0	1	1	Chord	3/1	4	1	1			1	1	111				
13	13	152	4.0	2	2	Chord	3/1	4	1	1			1	1	112				
14	14	156	4.0	0	0	Chord	3/1	1	1	1			1	1	113	fug-			
14	14	160	4.0	1	1	Chord	3/1	1	1	1			1	1	114	gi			
14	14	156	4.0	0	0	Chord	3/1	2	1	1			1	1	115	fug-			
14	14	160	4.0	1	1	Chord	3/1	2	1	1			1	1	116	gi			
14	14	156	4.0	0	0	Chord	3/1	3	1	1			1	1	117	fug-			
14	14	160	4.0	1	1	Chord	3/1	3	1	1			1	1	118	gi			
14	14	156	4.0	0	0	Chord	3/1	4	1	1			1	1	119				
14	14	160	4.0	1	1	Chord	3/1	4	1	1			1	1	120				
15	15	168	4.0	0	0	Chord	3/1	3	1	1			1	1	121	per-			
15	15	172	4.0	1	1	Chord	3/1	3	1	1			1	1	122	chè			
15	15	176	4.0	2	2	Chord	3/1	3	1	1			1	1	123	t'en			
15	15	168	4.0	0	0	Chord	3/1	4	1	1			1	1	124				
15	15	172	4.0	1	1	Chord	3/1	4	1	1			1	1	125				
15	15	176	4.0	2	2	Chord	3/1	4	1	1			1	1	126				
16	16	180	4.0	0	0	Chord	3/1	2	1	1			1	1	127	per-			
16	16	184	4.0	1	1	Chord	3/1	2	1	1			1	1	128	chè			
16	16	188	4.0	2	2	Chord	3/1	2	1	1			1	1	129	t'en			
16	16	180	4.0	0	0	Chord	3/1	3	1	1			1	1	130	fug-			
16	16	184	4.0	1	1	Chord	3/1	3	1	1			1	1	131	gi			
16	16	188	4.0	2	2	Chord	3/1	3	1	1			1	1	132	t'en			
16	16	180	4.0	0	0	Chord	3/1	4	1	1			1	1	133				
16	16	184	4.0	1	1	Chord	3/1	4	1	1			1	1	134				
16	16	188	4.0	2	2	Chord	3/1	4	1	1			1	1	135				
17	17	192	4.0	0	0	Chord	3/1	1	1	1			1	1	136	per-			
17	17	196	4.0	1	1	Chord	3/1	1	1	1			1	1	137	chè			
17	17	200	4.0	2	2	Chord	3/1	1	1	1			1	1	138	t'en			
17	17	192	4.0	0	0	Chord	3/1	2	1	1			1	1	139	fug-			
17	17	196	4.0	1	1	Chord	3/1	2	1	1			1	1	140	gi			
17	17	200	4.0	2	2	Chord	3/1	2	1	1			1	1	141	t'en			
17	17	192	4.0	0	0	Chord	3/1	3	1	1			1	1	142	fug-			
17	17	196	4.0	1	1	Chord	3/1	3	1	1			1	1	143	gi			
17	17	200	4.0	2	2	Chord	3/1	3	1	1			1	1	144	t'en			
17	17	192	4.0	0	0	Chord	3/1	4	1	1			1	1	145				
17	17	196	4.0	1	1	Chord	3/1	4	1	1			1	1	146				
17	17	200	4.0	2	2	Chord	3/1	4	1	1			1	1	147				
18	18	204	4.0	0	0	Chord	3/1	1	1	1			1	1	148	fug-			
18	18	208	4.0	1	1	Chord	3/1	1	1	1			1	1	149	gi			
18	18	212	4.0	2	2	Chord	3/1	1	1	1			1	1	150	t'en			
18	18	204	4.0	0	0	Chord	3/1	2	1	1			1	1	151	fug-			
18	18	208	4.0	1	1	Chord	3/1	2	1	1			1	1	152	gi			
18	18	212	4.0	2	2	Chord	3/1	2	1	1			1	1	153	t'en			
18	18	204	4.0	0	0	Chord	3/1	3	1	1			1	1	154	fug-			
18	18	208	4.0	1	1	Chord	3/1	3	1	1			1	1	155	gi			
18	18	212	4.0	2	2	Chord	3/1	3	1	1			1	1	156	t'en			
18	18	204	4.0	0	0	Chord	3/1	4	1	1			1	1	157				
18	18	208	4.0	1	1	Chord	3/1	4	1	1			1	1	158				
18	18	212	4.0	2	2	Chord	3/1	4	1	1			1	1	159				
19	19	216	4.0	0	0	Chord	3/1	1	1	1			1	1	160	fug-			
19	19	220	4.0	1	1	Chord	3/1	1	1	1			1	1	161	gi			
19	19	224	4.0	2	2	Chord	3/1	1	1	1			1	1	162	t'en			
19	19	216	4.0	0	0	Chord	3/1	2	1	1			1	1	163	fug-			
19	19	220	4.0	1	1	Chord	3/1	2	1	1			1	1	164	gi			
19	19	224	4.0	2	2	Chord	3/1	2	1	1			1	1	165	t'en			
19	19	216	4.0	0	0	Chord	3/1	3	1	1			1	1	166	fug-			
19	19	220	4.0	1	1	Chord	3/1	3	1	1			1	1	167	gi			
19	19	224	4.0	2	2	Chord	3/1	3	1	1			1	1	168	t'en			
19	19	216	4.0	0	0	Chord	3/1	4	1	1			1	1	169				
19	19	220	4.0	1	1	Chord	3/1	4	1	1			1	1	170				
19	19	224	4.0	2	2	Chord	3/1	4	1	1			1	1	171				
20	20	228	4.0	0	0	Chord	3/1	1	1	1			1	1	172	fug-			
20	20	232	4.0	1	1	Chord	3/1	1	1	1			1	1	173	gi			
20	20	228	4.0	0	0	Chord	3/1	2	1	1			1	1	174	fug-			
20	20	232	4.0	1	1	Chord	3/1	2	1	1			1	1	175	gi			
20	20	228	4.0	0	0	Chord	3/1	3	1	1			1	1	176	fug-			
20	20	232	4.0	1	1	Chord	3/1	3	1	1			1	1	177	gi			
20	20	228	4.0	0	0	Chord	3/1	4	1	1			1	1	178				
20	20	232	4.0	1	1	Chord	3/1	4	1	1			1	1	179				
21	21	243	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	180	Deh			
21	21	241	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	181	Ohi-			
21	21	242	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	182	mè			
21	21	241	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	183				
21	21	242	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	184				
22	22	244	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	185				
22	22	245	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	186	Fil-			
22	22	491/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	187	li a-			
22	22	246	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	188	scol-			
22	22	987/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	189	ta-			
22	22	247	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	190	mi			
22	22	244	4.0	0	0	Chord	4/4	4	1	1			1	1	191				
23	23	497/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	192	e			
23	23	249	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	193	quei			
23	23	499/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	194	bel-			
23	23	250	1.5	1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	195	li oc-			
23	23	503/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	196	chi			
23	23	248	4.0	0	0	Chord	4/4	4	1	1			1	1	197				
24	24	252	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	198	vol-			
24	24	507/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	199	ta-			
24	24	254	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	200	mi			
24	24	255	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	201	Ohi-			
24	24	252	2.0	0	0	Chord	4/4	4	1	1/2			1/2	1	202				
24	24	254	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	203				
25	25	513/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	204	A-			
25	25	257	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	205	scol-			
25	25	1031/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	206	ta-			
25	25	258	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	207	mi			
25	25	1035/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	208	a-			
25	25	259	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	209	scol-			
25	25	1039/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	210	ta-			
25	25	256	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	211	mè			
25	25	256	4.0	0	0	Chord	4/4	4	1	1			1	1	212				
26	26	260	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	213	mi			
26	26	261	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	214	Deh			
26	26	263	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	215	Fil-			
26	26	527/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	216	li a-			
26	26	261	2.0	1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	217	Deh			
26	26	263	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	218	Fil-			
26	26	527/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	219	li a-			
26	26	260	4.0	0	0	Chord	4/4	4	1	1			1	1	220				
27	27	264	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	221	scol-			
27	27	531/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	222	ta-			
27	27	266	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	223	mi			
27	27	264	1.5	0	0	Chord	4/4	3	1	3/8			1/4	3/2	224	scol-			
27	27	531/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	225	ta-			
27	27	266	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	226	mi			
27	27	264	4.0	0	0	Chord	4/4	4	1	1			1	1	227				
28	28	537/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	228	e			
28	28	269	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	229	quei			
28	28	539/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	230	bel-			
28	28	270	1.5	1/2	1/2	Chord	4/4	3	1	3/8			1/4	3/2	231	li oc-			
28	28	543/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	232	chi			
28	28	268	4.0	0	0	Chord	4/4	4	1	1			1	1	233				
29	29	545/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	234	a-			
29	29	273	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	235	scol-			
29	29	1095/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	236	ta-			
29	29	274	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	237	mi			
29	29	1099/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	238	a-			
29	29	275	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	239	scol-			
29	29	1103/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	240	ta-			
29	29	545/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	241	a-			
29	29	273	0.75	1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	242	scol-			
29	29	1095/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	243	ta-			
29	29	274	0.75	1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	244	mi			
29	29	1099/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	245	a-			
29	29	275	0.75	3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	246	scol-			
29	29	1103/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	247	ta-			
29	29	272	4.0	0	0	Chord	4/4	3	1	1			1	1	248	vol-			
29	29	272	4.0	0	0	Chord	4/4	4	1	1			1	1	249				
30	30	276	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	250	mi			
30	30	277	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	251	Deh			
30	30	279	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	252	Fil-			
30	30	559/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	253	li a-			
30	30	276	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	254	mi			
30	30	277	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	255	Deh			
30	30	279	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	256	Fil-			
30	30	559/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	257	li a-			
30	30	276	4.0	0	0	Chord	4/4	3	1	1			1	1	258	-			
30	30	276	4.0	0	0	Chord	4/4	4	1	1			1	1	259				
31	31	280	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	260	scol-			
31	31	1123/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	261	ta-			
31	31	281	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	262	mi			
31	31	565/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	263	e			
31	31	283	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	264	quei			
31	31	567/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	265	bel-			
31	31	280	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	266	scol-			
31	31	1123/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	267	ta-			
31	31	281	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	268	mi			
31	31	565/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	269	e			
31	31	283	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	270	quei			
31	31	567/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	271	bel-			
31	31	280	4.0	0	0	Chord	4/4	3	1	1			1	1	272	ta-			
31	31	280	4.0	0	0	Chord	4/4	4	1	1			1	1	273				
32	32	284	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	274	l'oc-			
32	32	1139/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	275	chi			
32	32	285	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	276	vol-			
32	32	287	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	277	ta-			
